Company Name,Contact Name,Job Title,Work Email,Website,Industry,Employee Count,Annual Revenue,Location,LinkedIn URL,Phone
Copperline Dental Group,Omar Gallagher,Operations Analyst,accounts@hubspot.com,https://www.hubspot.com,,8601,,"Tampa, FL",,+1 332-130-1592
Meridian Dental Group,Omar Petrov,Co-Founder,omar.petrov@stripe.com,https://www.stripe.com,Wholesale Distribution,,"$1,082,587,800","Columbus, OH",https://linkedin.com/in/omar-petrov-42,+1 229-205-6608
Ironclad Electrical,Robert Bergstrom,,robert.bergstrom@notion.so,https://www.notion.so,Professional Services,199,,"Charlotte, NC",https://linkedin.com/in/robert-bergstrom-43,
Northwind Packaging,,Operations Analyst,michael.okonkwo@mailchimp.com,https://www.mailchimp.com,Professional Services,61,,"Richmond, VA",https://linkedin.com/in/michael-okonkwo-44,+1 509-289-2522
Silverbrook Plumbing,Michael Rasmussen,Chief Executive Officer,michael.rasmussen@digitalocean.com,https://www.digitalocean.com,Healthcare,3,"$458,580","Tampa, FL",,
Tidewater Electrical,Omar Okonkwo,Owner,omar.okonkwo@intuit.com,https://www.intuit.com,Food & Beverage,122,,"Richmond, VA",,+1 250-608-7334
Foxglove Electrical,Elena Ibrahim,Junior Accountant,elena.ibrahim@intuit.com,https://www.intuit.com,Professional Services,222,"$63,925,788","Charlotte, NC",https://linkedin.com/in/elena-ibrahim-47,
Summit Manufacturing,Elena Lindqvist,Director of IT,elena@summit-logistics-llc.invalid,https://www.summit-logistics-llc.invalid,Healthcare,3,"$587,121","Indianapolis, IN",https://linkedin.com/in/elena-lindqvist-48,
Harbor Distribution,Marcus Lindqvist,Director of Operations,marcus.lindqvist@figma.com,https://www.figma.com,Healthcare,146,"$38,355,806","Kansas City, MO",https://linkedin.com/in/marcus-lindqvist-49,
Cornerstone Machining,Linda Sorensen,Co-Founder,linda.sorensen@figma.com,https://www.figma.com,Healthcare,2,"$255,450","Columbus, OH",,
Granite Industrial,Rachel Lindqvist,General Manager,rachel.lindqvist@hubspot.com,https://www.hubspot.com,Healthcare,26,"$6,447,584","Phoenix, AZ",,
Tidewater Electrical,Robert Petrov,Chief Executive Officer,robert@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Wholesale Distribution,139,"$40,373,940","Phoenix, AZ",https://linkedin.com/in/robert-petrov-52,+1 679-698-3598
Meridian Fabrication,James Petrov,Founder,james.petrov@zoominfo.com,https://www.zoominfo.com,Logistics,10,,"Nashville, TN",https://linkedin.com/in/james-petrov-53,+1 232-426-6729
Pinnacle Health Partners,Maria Novak,Director of IT,maria.novak@mailchimp.com,https://www.mailchimp.com,Healthcare,8,"$1,358,232","Dallas, TX",https://linkedin.com/in/maria-novak-54,
Harbor Electrical,Kevin Petrov,,kevin.petrov@datadoghq.com,https://www.datadoghq.com,Food & Beverage,926,"$223,171,556","Charlotte, NC",https://linkedin.com/in/kevin-petrov-55,+1 397-254-3952
Granite Automotive,,Director of IT,,https://www.atlassian.com,Food & Beverage,96,"$27,309,024","Indianapolis, IN",,
Granite Automotive,,Director of IT,,https://www.atlassian.com,Food & Beverage,96,"$27,309,024","Indianapolis, IN",,
Cornerstone Fabrication,Marcus Nakamura,Co-Founder,marcus.nakamura@zendesk.com,https://www.zendesk.com,Facilities Management,11,"$1,227,182","Indianapolis, IN",https://linkedin.com/in/marcus-nakamura-57,+1 241-459-8753
Pinnacle Health Partners,Aisha Lindqvist,"Vice President, Finance",aisha.lindqvist@notion.so,https://www.notion.so,Logistics,79,"$13,570,620","Columbus, OH",,
Northwind Fabrication,David Hartley,,david.hartley@wix.com,https://www.wix.com,Facilities Management,231,"$50,119,146","Dallas, TX",https://linkedin.com/in/david-hartley-59,+1 509-710-1353
Kestrel Manufacturing,,Director of Operations,davidwhitfield51@hotmail.com,https://www.hotmail.com,Construction,4224,"$568,254,720","Charlotte, NC",https://linkedin.com/in/david-whitfield-60,+1 224-710-4952
Kestrel Fabrication,Thomas Whitfield,Field Technician,thomas200@mailinator.com,https://www.mailinator.com,Logistics,9,"$1,229,715","Nashville, TN",,+1 229-797-8920
Silverbrook Distribution,Robert Whitfield,VP of Operations,robert.whitfield@notion.so,https://www.notion.so,Manufacturing,207,"$35,451,441","Phoenix, AZ",,+1 478-333-2790
Northwind Health Partners,Elena Ibrahim,Director of IT,elena.ibrahim@salesforce.com,https://www.salesforce.com,Logistics,30,"$4,860,180","Kansas City, MO",https://linkedin.com/in/elena-ibrahim-63,
Summit Facilities,Thomas Rasmussen,Head of Procurement,thomas.rasmussen@figma.com,https://www.figma.com,Wholesale Distribution,237,"$40,348,539","Indianapolis, IN",https://linkedin.com/in/thomas-rasmussen-64,+1 515-265-6180
Summit Facilities,Thomas Rasmussen,Head of Procurement,thomas.rasmussen@figma.com,https://www.figma.com,Wholesale Distribution,237,"$40,348,539","Indianapolis, IN",https://linkedin.com/in/thomas-rasmussen-64,+1 515-265-6180
Cornerstone Fabrication,Robert Whitfield,Operations Manager,robert.whitfield@shopify.com,https://www.shopify.com,Facilities Management,145,,"Salt Lake City, UT",https://linkedin.com/in/robert-whitfield-65,+1 655-595-3377
Harbor Industrial,Robert Sorensen,VP of Operations,contact@intuit.com,https://www.intuit.com,Professional Services,6173,"$1,202,679,417","Kansas City, MO",,+1 216-107-3312
Kestrel Logistics,Rachel Petrov,"Vice President, Finance",rachel.petrov@cloudflare.com,https://www.cloudflare.com,Logistics,30,"$8,701,980","Phoenix, AZ",https://linkedin.com/in/rachel-petrov-67,
Copperline Packaging,David Gallagher,Chief Executive Officer,david.gallagher@cloudflare.com,https://www.cloudflare.com,Facilities Management,8343,"$1,746,999,171","Nashville, TN",https://linkedin.com/in/david-gallagher-68,+1 508-218-4139
Harbor Freight,Maria Hartley,VP of Operations,maria@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Wholesale Distribution,246,,"Tampa, FL",,+1 309-573-1830
Copperline Facilities,,Founder,sarah.whitfield@gitlab.com,https://www.gitlab.com,Manufacturing,112,,"Charlotte, NC",,+1 911-305-7346
Kestrel Distribution,Kevin Bergstrom,Sales Representative,accounts@stripe.com,https://www.stripe.com,Food & Beverage,218,"$33,384,084","Nashville, TN",,+1 365-743-8765
Foxglove HVAC Services,Claire Petrov,Operations Manager,claire.petrov@@gitlab.com,https://www.gitlab.com,Food & Beverage,66,"$7,556,010","Phoenix, AZ",https://linkedin.com/in/claire-petrov-72,
Pinnacle Plumbing,Robert Lindqvist,Managing Director,robert.lindqvist@atlassian.com,https://www.atlassian.com,Professional Services,890,"$94,001,800","Nashville, TN",https://linkedin.com/in/robert-lindqvist-73,+1 585-708-2996
Ironclad Industrial,Sarah Silva,Director of Operations,sarah.silva@@atlassian.com,https://www.atlassian.com,Wholesale Distribution,7340,"$1,871,068,760","Columbus, OH",https://linkedin.com/in/sarah-silva-74,+1 341-962-5950
Foxglove Industrial,Thomas Ibrahim,Operations Analyst,thomas.ibrahim@notion.so,https://www.notion.so,Construction,27,,"Kansas City, MO",https://linkedin.com/in/thomas-ibrahim-75,+1 996-600-5727
Pinnacle Manufacturing,Grace Sorensen,Junior Accountant,gracesorensen33@outlook.com,https://www.outlook.com,Industrial Services,194,"$20,555,852","Richmond, VA",,+1 501-729-9084
Blue Ridge Logistics,Michael Vasquez,Marketing Coordinator,michael.vasquez@asana.com,https://www.asana.com,Logistics,124,,"Richmond, VA",https://linkedin.com/in/michael-vasquez-77,+1 333-793-3385
Blue Ridge Logistics,Michael Vasquez,Marketing Coordinator,michael.vasquez@asana.com,https://www.asana.com,Logistics,124,,"Richmond, VA",https://linkedin.com/in/michael-vasquez-77,+1 333-793-3385
Ironclad Packaging,Paul Ahmed,"Vice President, Finance",paul.ahmed@mailchimp.com,https://www.mailchimp.com,Professional Services,154,"$44,750,552","Richmond, VA",,
Granite Fabrication,Sarah Novak,VP of Operations,sarah.novak@asana.com,https://www.asana.com,Facilities Management,323,"$48,112,788","Richmond, VA",https://linkedin.com/in/sarah-novak-79,
Pinnacle Automotive,,Founder,daniel.kowalski@wix.com,https://www.wix.com,Industrial Services,61,,"Columbus, OH",https://linkedin.com/in/daniel-kowalski-80,+1 605-484-2180
Cornerstone Plumbing,Kevin Delgado,Director of Operations,kevin.delgado@wix.com,https://www.wix.com,Industrial Services,5,"$1,078,625","Charlotte, NC",,
Kestrel Logistics,Thomas Petrov,General Manager,info@datadoghq.com,https://www.datadoghq.com,Logistics,17,"$1,967,308","Columbus, OH",,+1 877-717-3824
Blue Ridge Electrical,David Delgado,Operations Analyst,david.delgado@zendesk.com,https://www.zendesk.com,Logistics,179,,"Indianapolis, IN",,+1 870-845-7849
Northwind Electrical,Kevin Delgado,VP of Operations,kevin.delgado@twilio.com,https://www.twilio.com,Logistics,4370,"$1,012,966,000","Kansas City, MO",https://linkedin.com/in/kevin-delgado-84,+1 904-185-2950
Summit Manufacturing,James Sorensen,Sales Representative,james.sorensen@gitlab.com,https://www.gitlab.com,Automotive,138,"$18,487,722","Charlotte, NC",https://linkedin.com/in/james-sorensen-85,
Ironclad Freight,Maria Delgado,Director of Operations,info@stripe.com,https://www.stripe.com,Manufacturing,9209,"$1,452,093,538","Kansas City, MO",,+1 924-900-5094
Harbor Health Partners,Marcus Petrov,Operations Analyst,marcuspetrov20@yahoo.com,https://www.yahoo.com,Manufacturing,3631,"$528,619,135","Charlotte, NC",https://linkedin.com/in/marcus-petrov-87,
Meridian Manufacturing,Rachel Gallagher,General Manager,rachel.gallagher@godaddy.com,https://www.godaddy.com,Food & Beverage,93,"$22,469,916","Kansas City, MO",,+1 229-850-4554
Summit Industrial,Maria Bergstrom,Operations Analyst,mariabergstrom53@hotmail.com,https://www.hotmail.com,Professional Services,5,"$1,257,250","Phoenix, AZ",,+1 376-385-3933
Tidewater Dental Group,Kevin Vasquez,COO,kevin.vasquez@notion.so,https://www.notion.so,Facilities Management,,"$30,814,223","Indianapolis, IN",https://linkedin.com/in/kevin-vasquez-90,+1 599-607-8649
Blue Ridge Machining,Aisha Novak,Owner,info@salesforce.com,https://www.salesforce.com,Industrial Services,22,"$3,248,388","Phoenix, AZ",,+1 618-487-9969
Redwood Packaging,Maria Kowalski,Director of IT,maria.kowalski@figma.com,https://www.figma.com,Logistics,207,,"Richmond, VA",https://linkedin.com/in/maria-kowalski-92,+1 373-431-4130
Blue Ridge Distribution,Rachel Chen,Marketing Coordinator,rachel.chen@hubspot.com,https://www.hubspot.com,Industrial Services,157,,"Richmond, VA",https://linkedin.com/in/rachel-chen-93,+1 231-639-4034
Summit Distribution,Paul Lindqvist,,paullindqvist89@gmail.com,https://www.gmail.com,Manufacturing,5693,"$1,686,687,882","Tampa, FL",https://linkedin.com/in/paul-lindqvist-94,
Summit Distribution,Paul Lindqvist,,paullindqvist89@gmail.com,https://www.gmail.com,Manufacturing,5693,"$1,686,687,882","Tampa, FL",https://linkedin.com/in/paul-lindqvist-94,
Ironclad Manufacturing,,Operations Analyst,hello@wix.com,https://www.wix.com,Professional Services,91,"$12,989,704","Phoenix, AZ",https://linkedin.com/in/grace-novak-95,+1 761-624-3974
Granite Freight,Marcus Petrov,Director of IT,marcus.petrov@atlassian.com,https://www.atlassian.com,Construction,42,"$5,609,562","Phoenix, AZ",https://linkedin.com/in/marcus-petrov-96,+1 621-160-2379
Northwind Packaging,Maria Ahmed,Managing Director,maria.ahmed@intuit.com,https://www.intuit.com,Industrial Services,6555,,"Charlotte, NC",https://linkedin.com/in/maria-ahmed-97,+1 520-156-8751
Tidewater Fabrication,James Vasquez,VP of Operations,james.vasquez@zoominfo.com,https://www.zoominfo.com,Wholesale Distribution,227,"$58,949,857","Kansas City, MO",,
Tidewater Electrical,Daniel Ferreira,Marketing Coordinator,,https://www.salesforce.com,Construction,1052,"$107,453,384","Nashville, TN",,+1 905-820-2192
Harbor Electrical,Maria Ferreira,General Manager,mariaferreira24@gmail.com,https://www.gmail.com,Manufacturing,107,"$18,559,792","Columbus, OH",https://linkedin.com/in/maria-ferreira-100,
Granite Freight,Nina Kowalski,,nina.kowalski@hubspot.com,https://www.hubspot.com,Healthcare,168,"$35,562,744","Salt Lake City, UT",https://linkedin.com/in/nina-kowalski-101,
Tidewater Facilities,Nina Gallagher,General Manager,ninagallagher92@outlook.com,https://www.outlook.com,Logistics,136,"$40,240,768","Phoenix, AZ",,+1 266-281-9184
Meridian Packaging,Linda Ibrahim,Founder,lindaibrahim25@outlook.com,https://www.outlook.com,,35,"$6,783,595","Phoenix, AZ",,+1 325-790-8251
Meridian Packaging,Linda Ibrahim,Founder,lindaibrahim25@outlook.com,https://www.outlook.com,,35,"$6,783,595","Phoenix, AZ",,+1 325-790-8251
Ironclad Logistics,Rachel Nakamura,Plant Manager,admin@atlassian.com,https://www.atlassian.com,Professional Services,206,"$45,749,716","Indianapolis, IN",,
Granite Industrial,Nina Novak,Founder,ninanovak36@outlook.com,https://www.outlook.com,Facilities Management,87,"$9,198,771","Tampa, FL",https://linkedin.com/in/nina-novak-105,
Northwind Automotive,Elena Okonkwo,Plant Manager,elena.okonkwo@stripe.com,https://www.stripe.com,Facilities Management,8066,"$1,044,272,756","Tampa, FL",https://linkedin.com/in/elena-okonkwo-106,+1 440-437-6309
Blue Ridge Plumbing,Priya Bergstrom,Founder,priya536@mailinator.com,https://www.mailinator.com,Manufacturing,154,"$18,067,742","Kansas City, MO",,+1 878-826-4734
Pinnacle Logistics,Paul Bergstrom,"Vice President, Finance",paul@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Industrial Services,215,"$31,584,575","Nashville, TN",https://linkedin.com/in/paul-bergstrom-108,+1 811-533-3083
Summit Freight,Omar Sorensen,"Vice President, Finance",omar.sorensen@datadoghq.com,https://www.datadoghq.com,Automotive,150,"$36,851,700","Dallas, TX",https://linkedin.com/in/omar-sorensen-109,+1 348-135-1082
Kestrel Manufacturing,Kevin Chen,Operations Manager,,https://www.intuit.com,Automotive,7175,,"Columbus, OH",,
Foxglove Health Partners,Paul Chen,Field Technician,paulchen13@gmail.com,https://www.gmail.com,Facilities Management,62,,"Kansas City, MO",https://linkedin.com/in/paul-chen-111,+1 943-828-4090
Granite Packaging,Sarah Novak,,sarahnovak62@yahoo.com,https://www.yahoo.com,Construction,25,"$5,897,075","Tampa, FL",https://linkedin.com/in/sarah-novak-112,+1 561-472-4323
Cornerstone Electrical,Nina Rasmussen,Marketing Coordinator,nina.rasmussen@intuit.com,https://www.intuit.com,Food & Beverage,111,"$16,038,612","Nashville, TN",,
Meridian Manufacturing,Paul Sorensen,Co-Founder,admin@intuit.com,https://www.intuit.com,Professional Services,98,"$20,334,216","Tampa, FL",https://linkedin.com/in/paul-sorensen-114,
Meridian Logistics,David Hartley,Head of Procurement,david.hartley@squarespace.com,https://www.squarespace.com,Construction,477,"$116,783,910","Kansas City, MO",https://linkedin.com/in/david-hartley-115,+1 740-698-6788
Northwind Automotive,Maria Vasquez,VP of Operations,info@squarespace.com,https://www.squarespace.com,Healthcare,5568,"$1,286,024,256","Charlotte, NC",,
Tidewater Facilities,Elena Ibrahim,Sales Representative,elena.ibrahim@mailchimp.com,https://www.mailchimp.com,Automotive,25,,"Phoenix, AZ",https://linkedin.com/in/elena-ibrahim-117,
Cornerstone Packaging,Omar Silva,Director of IT,omarsilva23@gmail.com,https://www.gmail.com,Facilities Management,6396,,"Columbus, OH",,+1 590-909-5932
Foxglove Automotive,Grace Sorensen,Founder,admin@wix.com,https://www.wix.com,Food & Beverage,182,"$18,880,680","Charlotte, NC",https://linkedin.com/in/grace-sorensen-119,+1 575-739-6046
Northwind Freight,Daniel Lindqvist,,accounts@atlassian.com,https://www.atlassian.com,Automotive,194,,"Richmond, VA",https://linkedin.com/in/daniel-lindqvist-120,
Redwood Fabrication,Robert Novak,COO,robert.novak@notion.so,https://www.notion.so,Food & Beverage,9,"$1,343,322","Phoenix, AZ",https://linkedin.com/in/robert-novak-121,
Cornerstone Industrial,Rachel Bergstrom,COO,,https://www.stripe.com,Logistics,213,,"Charlotte, NC",https://linkedin.com/in/rachel-bergstrom-122,
Summit Fabrication,,Chief Executive Officer,daniel.ferreira@datadoghq.com,https://www.datadoghq.com,Wholesale Distribution,,,"Nashville, TN",https://linkedin.com/in/daniel-ferreira-123,+1 282-669-1338
Summit Facilities,Robert Ahmed,COO,robert.ahmed@mailchimp.com,https://www.mailchimp.com,Healthcare,8521,,"Dallas, TX",,+1 295-513-4797
Harbor Fabrication,Paul Delgado,Managing Director,pauldelgado53@yahoo.com,https://www.yahoo.com,Professional Services,234,"$55,783,962","Charlotte, NC",,
Summit Freight,Elena Okonkwo,Head of Procurement,elenaokonkwo53@hotmail.com,https://www.hotmail.com,Logistics,,"$14,389,752","Nashville, TN",,+1 913-102-3556
Copperline Machining,,Director of IT,accounts@godaddy.com,https://www.godaddy.com,Manufacturing,53,"$6,810,447","Tampa, FL",,+1 855-741-9049
Summit Fabrication,Rachel Gallagher,COO,rachel@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Food & Beverage,3958,"$1,106,395,572","Columbus, OH",,+1 625-890-8518
Tidewater Automotive,Rachel Whitfield,VP of Operations,rachelwhitfield47@hotmail.com,https://www.hotmail.com,Facilities Management,,"$3,098,403","Dallas, TX",https://linkedin.com/in/rachel-whitfield-129,+1 824-968-9948
Tidewater Automotive,Rachel Whitfield,VP of Operations,rachelwhitfield47@hotmail.com,https://www.hotmail.com,Facilities Management,,"$3,098,403","Dallas, TX",https://linkedin.com/in/rachel-whitfield-129,+1 824-968-9948
Foxglove Freight,Daniel Chen,Director of IT,danielchen38@gmail.com,https://www.gmail.com,Wholesale Distribution,3321,"$653,778,702","Indianapolis, IN",https://linkedin.com/in/daniel-chen-130,+1 251-855-1441
Pinnacle HVAC Services,Sarah Ibrahim,Director of Operations,sarah.ibrahim@atlassian.com,https://www.atlassian.com,Professional Services,184,"$29,337,880","Phoenix, AZ",https://linkedin.com/in/sarah-ibrahim-131,
Ironclad Fabrication,David Gallagher,,david.gallagher@shopify.com,https://www.shopify.com,Industrial Services,5387,"$694,244,238","Dallas, TX",,+1 526-706-2966
Blue Ridge Electrical,Claire Mbeki,President,admin@squarespace.com,https://www.squarespace.com,Manufacturing,7798,"$1,436,945,258","Columbus, OH",https://linkedin.com/in/claire-mbeki-133,
Summit Facilities,Linda Mbeki,"Vice President, Finance",lindambeki69@hotmail.com,https://www.hotmail.com,Wholesale Distribution,2814,"$505,726,452","Salt Lake City, UT",,+1 518-368-5685
Redwood Automotive,,Executive Assistant,nina.nakamura@twilio.com,https://www.twilio.com,Wholesale Distribution,,,"Phoenix, AZ",https://linkedin.com/in/nina-nakamura-135,+1 569-877-5874
Silverbrook Freight,,Junior Accountant,elena.chen@gitlab.com,https://www.gitlab.com,Healthcare,218,"$55,276,516","Salt Lake City, UT",https://linkedin.com/in/elena-chen-136,
Summit Packaging,David Lindqvist,Plant Manager,davidlindqvist64@yahoo.com,https://www.yahoo.com,Logistics,221,"$25,157,977","Phoenix, AZ",,+1 892-907-6697
Blue Ridge Manufacturing,Maria Novak,Operations Analyst,maria.novak@salesforce.com,https://www.salesforce.com,Automotive,184,,"Dallas, TX",,
Kestrel Industrial,,Operations Manager,grace.ibrahim@godaddy.com,https://www.godaddy.com,Automotive,2097,"$579,264,795","Dallas, TX",https://linkedin.com/in/grace-ibrahim-139,+1 308-729-4078
Cornerstone HVAC Services,Aisha Ferreira,Founder,aisha.ferreira@shopify.com,https://www.shopify.com,Industrial Services,62,"$12,330,622","Tampa, FL",,+1 571-575-4539
Northwind Machining,Robert Hartley,Chief Executive Officer,accounts@datadoghq.com,https://www.datadoghq.com,Professional Services,23,,"Kansas City, MO",,+1 731-647-4162
